Transaction_ID,Customer_ID,Name,Email,Age,Gender,Country,Region,City,Product_Category,Quantity,Unit_Price,Total_Amount,Order_Date,Payment_Method,Order_Status
T115005,C07270,Nicole Kaiser,wjones@example.net,47.0,Female,USA,West,North Destiny,Grocery,6.0,55.43,365.7,2024-10-17,,Completed
T109582,C05069,Cameron Jackson,patricia39@example.net,,Other,China,East,Port Cameron,Book,,366.89,,2025-12-20,,Cancelled
T101087,C01128,Ronald Brown,alexandrabrown@example.org,25.0,,China,East,New Kathleen,grocery,6.0,47.79,272.59,2024-09-22,UPI,Returned
T103907,C01602,James Kennedy,smithmiranda@example.net,32.0,Female,Japan,East,Jeffreyborough,BEAUTY,5.0,338.81,1808.51,2025-03-13,Net Banking,Cancelled
T107461,C01012,Heather Terrell,ygreen@example.com,52.0,,Canada,North,Lewischester,clothing,8.0,279.98,2276.58,2024-11-16,Cash,Cancelled
T118639,C07152,Emily Beck,chloe71@example.net,,Male,USA,North,South Alexander,Furniture,10.0,258.11,2645.97,2026-01-07,Net Banking,Cancelled
T106066,C06217,Andrew Perez,joshuawebb@example.com,32.0,,India,South,Beckchester,Electronics,1.0,212.65,193.73,2024-08-05,,Cancelled
T120621,C06357,Wendy Smith,ghill@example.net,54.0,Other,France,Central,West Chad,books,1.0,59.12,60.95,2026-03-07,Net Banking,Cancelled
T112971,C01303,Tracy Mcpherson,murillobeverly@example.org,75.0,Other,Germany,Central,West Kevinbury,Furniture,3.0,376.13,1060.38,2024-09-17,Net Banking,Pending
T119609,C04922,Claudia Brooks,shernandez@example.net,69.0,,Canada,North,Escobarfort,Sports,8.0,415.91,3552.76,2025-10-03,Net Banking,Pending
T115450,C00503,Michele Thomas,gardnerdonald@example.net,60.0,Male,China,East,Robertbury,Sport,8.0,227.33,1850.78,2026-03-29,Debit Card,Cancelled
T107838,C04160,Susan Miller,christineoliver@example.org,71.0,Other,UK,West,Sanchezbury,ELECTRONICS,5.0,468.54,2314.8,2025-03-28,Cash,Pending
T102772,C01002,Rachel Peterson,nicholas54@example.org,53.0,Female,Canada,North,Masonbury,Sports,2.0,245.09,459.16,2025-05-06,Cash,Returned
T101252,C00353,Christina Adams,sylvia33@example.net,,Other,Germany,Central,Patrickton,Beauty,1.0,432.74,414.91,2025-12-18,Credit Card,Returned
T117366,C05732,Scott Davis,katiephelps@example.net,46.0,Male,UK,West,Allenhaven,Cloths,10.0,67.34,609.25,2026-03-21,Debit Card,Returned
T102097,C01302,Diana Williams,tina83@example.org,40.0,Female,France,Central,West Calebfort,sports,6.0,333.46,2149.87,2025-07-30,Debit Card,Completed
T123861,C00597,Jennifer Miller,ljohnson@example.org,66.0,Other,Canada,North,Lake Sherri,Groceries,6.0,224.11,1363.74,2025-08-21,Net Banking,Completed
T123564,C05031,Joseph Payne,ahill@example.org,49.0,,India,South,Davistown,Book,3.0,409.18,1275.32,2025-02-23,,Returned
T124046,C01306,Amy White,marcus87@example.com,49.0,Male,India,South,Rogersmouth,Sport,8.0,169.53,1480.86,2026-04-07,Cash,Returned
T101682,C06229,Stephanie Allen,plin@example.org,46.0,Male,USA,West,New Brianfurt,Clothing,1.0,309.19,281.36,2024-12-19,Debit Card,Pending
T116539,C06278,Yvonne Weber,larsonseth@example.org,74.0,Male,Japan,East,West Nancyhaven,CLOTHING,8.0,289.72,2543.87,2026-04-27,Debit Card,Completed
T114301,C03314,Jessica Lamb,susanlin@example.net,41.0,,USA,North,West Nathanburgh,furniture,10.0,302.77,2837.55,2025-07-23,Net Banking,Completed
T100425,C02114,Beth Hall,linda73@example.org,57.0,,Canada,North,Howardberg,Groceries,4.0,76.14,328.66,2025-12-12,Cash,Pending
